estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,cantidad_museos,pobtot,habxm,habxm2,habxm3,museo_por,fecha_calculo
8,Chihuahua,60,Santa Bárbara,0,,1,10427,10427,0.104,9.59,0,04/06/2021
8,Chihuahua,60,Santa Bárbara,1,Santa Bárbara,1,8765,8765,0.088,11.409,0,04/06/2021
8,Chihuahua,61,Satevó,0,,1,3662,3662,0.037,27.307,0,04/06/2021
8,Chihuahua,61,Satevó,1,San Francisco Javier de Satevó,1,445,445,0.004,224.719,0,04/06/2021
9,Ciudad de México,0,,0,,162,8851080,54636,0.546,1.83,0,04/06/2021
9,Ciudad de México,2,Azcapotzalco,0,,2,414711,207356,2.074,0.482,0,04/06/2021
9,Ciudad de México,2,Azcapotzalco,1,Azcapotzalco,2,414711,207356,2.074,0.482,0,04/06/2021
9,Ciudad de México,3,Coyoacán,0,,12,620416,51701,0.517,1.934,0,04/06/2021
9,Ciudad de México,3,Coyoacán,1,Coyoacán,12,620416,51701,0.517,1.934,0,04/06/2021
9,Ciudad de México,4,Cuajimalpa de Morelos,0,,3,186391,62130,0.621,1.61,0,04/06/2021
9,Ciudad de México,4,Cuajimalpa de Morelos,1,Cuajimalpa de Morelos,3,160491,53497,0.535,1.869,0,04/06/2021
9,Ciudad de México,5,Gustavo A. Madero,0,,6,1185772,197629,1.976,0.506,0,04/06/2021
9,Ciudad de México,5,Gustavo A. Madero,1,Gustavo A. Madero,6,1185772,197629,1.976,0.506,0,04/06/2021
9,Ciudad de México,7,Iztapalapa,0,,5,1815786,363157,3.632,0.275,0,04/06/2021
9,Ciudad de México,7,Iztapalapa,1,Iztapalapa,5,1815786,363157,3.632,0.275,0,04/06/2021
9,Ciudad de México,9,Milpa Alta,0,,1,130582,130582,1.306,0.766,0,04/06/2021
9,Ciudad de México,9,Milpa Alta,1,Villa Milpa Alta,1,18274,18274,0.183,5.472,0,04/06/2021
9,Ciudad de México,10,Álvaro Obregón,0,,6,727034,121172,1.212,0.825,0,04/06/2021
9,Ciudad de México,10,Álvaro Obregón,1,Álvaro Obregón,6,726664,121111,1.211,0.826,0,04/06/2021
9,Ciudad de México,11,Tláhuac,0,,3,360265,120088,1.201,0.833,0,04/06/2021
9,Ciudad de México,11,Tláhuac,1,Tláhuac,3,305076,101692,1.017,0.983,0,04/06/2021
9,Ciudad de México,12,Tlalpan,0,,5,650567,130113,1.301,0.769,0,04/06/2021
9,Ciudad de México,12,Tlalpan,1,Tlalpan,5,574577,114915,1.149,0.87,0,04/06/2021
9,Ciudad de México,13,Xochimilco,0,,2,415007,207504,2.075,0.482,0,04/06/2021
9,Ciudad de México,13,Xochimilco,1,Xochimilco,2,407885,203943,2.039,0.49,0,04/06/2021
9,Ciudad de México,14,Benito Juárez,0,,8,385439,48180,0.482,2.076,0,04/06/2021
9,Ciudad de México,14,Benito Juárez,1,Benito Juárez,8,385439,48180,0.482,2.076,0,04/06/2021
9,Ciudad de México,15,Cuauhtémoc,0,,85,531831,6257,0.063,15.983,0,04/06/2021
9,Ciudad de México,15,Cuauhtémoc,1,Cuauhtémoc,85,531831,6257,0.063,15.983,0,04/06/2021
9,Ciudad de México,16,Miguel Hidalgo,0,,22,372889,16950,0.169,5.9,0,04/06/2021
9,Ciudad de México,16,Miguel Hidalgo,1,Miguel Hidalgo,22,372889,16950,0.169,5.9,0,04/06/2021
9,Ciudad de México,17,Venustiano Carranza,0,,2,430978,215489,2.155,0.464,0,04/06/2021
9,Ciudad de México,17,Venustiano Carranza,1,Venustiano Carranza,2,430978,215489,2.155,0.464,0,04/06/2021
10,Durango,0,,0,,48,1632934,34019,0.34,2.939,0,04/06/2021
10,Durango,1,Canatlán,0,,2,31401,15701,0.157,6.369,0,04/06/2021
10,Durango,1,Canatlán,1,Canatlán,1,11495,11495,0.115,8.699,0,04/06/2021
10,Durango,1,Canatlán,52,Gomelia,1,142,142,0.001,704.225,0,04/06/2021
10,Durango,4,Cuencamé,0,,3,33664,11221,0.112,8.912,0,04/06/2021
10,Durango,4,Cuencamé,1,Cuencamé de Ceniceros,1,9848,9848,0.098,10.154,0,04/06/2021
10,Durango,4,Cuencamé,64,San Pedro de Ocuila,1,394,394,0.004,253.807,0,04/06/2021
10,Durango,4,Cuencamé,74,Velardeña,1,2425,2425,0.024,41.237,0,04/06/2021
10,Durango,5,Durango,0,,16,582267,36392,0.364,2.748,0,04/06/2021
10,Durango,5,Durango,1,Victoria de Durango,14,518709,37051,0.371,2.699,0,04/06/2021
10,Durango,5,Durango,219,El Nayar,1,3308,3308,0.033,30.23,0,04/06/2021
10,Durango,5,Durango,279,Sebastián Lerdo de Tejada,1,1712,1712,0.017,58.411,0,04/06/2021
10,Durango,6,General Simón Bolívar,0,,1,10629,10629,0.106,9.408,0,04/06/2021
10,Durango,6,General Simón Bolívar,1,General Simón Bolívar,1,1321,1321,0.013,75.7,0,04/06/2021
10,Durango,7,Gómez Palacio,0,,4,327985,81996,0.82,1.22,0,04/06/2021
10,Durango,7,Gómez Palacio,1,Gómez Palacio,4,257352,64338,0.643,1.554,0,04/06/2021
10,Durango,12,Lerdo,0,,4,141043,35261,0.353,2.836,0,04/06/2021
10,Durango,12,Lerdo,1,Lerdo,2,79669,39835,0.398,2.51,0,04/06/2021
10,Durango,12,Lerdo,23,La Loma,1,4045,4045,0.04,24.722,0,04/06/2021
10,Durango,12,Lerdo,57,Ciudad Juárez,1,7069,7069,0.071,14.146,0,04/06/2021
10,Durango,13,Mapimí,0,,2,25137,12569,0.126,7.956,0,04/06/2021
10,Durango,13,Mapimí,1,Mapimí,2,5623,2812,0.028,35.568,0,04/06/2021
10,Durango,16,Nombre de Dios,0,,1,18488,18488,0.185,5.409,0,04/06/2021
10,Durango,16,Nombre de Dios,1,Nombre de Dios,1,5302,5302,0.053,18.861,0,04/06/2021
10,Durango,17,Ocampo,0,,1,9626,9626,0.096,10.389,0,04/06/2021
10,Durango,17,Ocampo,1,Villa Ocampo,1,1076,1076,0.011,92.937,0,04/06/2021
10,Durango,21,Peñón Blanco,0,,1,10473,10473,0.105,9.548,0,04/06/2021
10,Durango,21,Peñón Blanco,1,Peñón Blanco,1,5271,5271,0.053,18.972,0,04/06/2021
10,Durango,22,Poanas,0,,1,24918,24918,0.249,4.013,0,04/06/2021
10,Durango,22,Poanas,1,Villa Unión,1,10753,10753,0.108,9.3,0,04/06/2021
10,Durango,23,Pueblo Nuevo,0,,1,49162,49162,0.492,2.034,0,04/06/2021
10,Durango,23,Pueblo Nuevo,1,El Salto,1,24241,24241,0.242,4.125,0,04/06/2021
10,Durango,27,San Juan de Guadalupe,0,,1,5947,5947,0.059,16.815,0,04/06/2021
10,Durango,27,San Juan de Guadalupe,1,San Juan de Guadalupe,1,1712,1712,0.017,58.411,0,04/06/2021
10,Durango,28,San Juan del Río,0,,2,11855,5928,0.059,16.871,0,04/06/2021
10,Durango,28,San Juan del Río,1,San Juan del Río del Centauro del Norte,2,2912,1456,0.015,68.681,0,04/06/2021
10,Durango,32,Santiago Papasquiaro,0,,2,44966,22483,0.225,4.448,0,04/06/2021
